hopf_offset,gamma,equilibrium_stability_margin,lambda_1,lambda_2,lambda_3,lyapunov_status,E0_probe_count,E0_target_hits,E0_ambiguous,eligible_hidden_chaos_screen
0.002,0.14580379839949112,0.01213665925702856,0.9653558228836482,0.04280353290819099,-20.760030207908063,ok,12,6,0,False
0.003,0.14680379839949112,0.018156646385154462,0.8421802924121423,0.01585736450535775,-20.764274513671772,ok,12,6,0,False
0.005,0.14880379839949112,0.03009940856442217,0.11925004005099758,-0.0034449756499268587,-20.687350003866094,ok,12,6,0,False
0.008,0.15180379839949112,0.047769359821804136,0.831759169438285,-0.0014252538820256086,-20.961363577005304,ok,12,0,0,True
0.01,0.15380379839949113,0.05938592786916713,0.7357121044940284,0.00645090620531952,-20.85503401059878,ok,12,0,0,True
0.012,0.15580379839949113,0.07087153872345198,0.3446582183034225,0.011120118399461006,-20.90883832223391,ok,12,0,0,False
0.015,0.1588037983994911,0.08785442531077603,-0.05235656796266919,-0.08905266778796926,-20.96867571113404,ok,12,0,0,False
