contract,sample_id,equilibrium,radius,direction_id,y1,y2,y3
main_3x3xN,0,E0,0.001,1,0.001,0.0,0.0
main_3x3xN,1,E0,0.001,2,0.0,0.001,0.0
main_3x3xN,2,E0,0.001,3,0.0,0.0,0.001
main_3x3xN,3,E0,0.001,4,-0.001,0.0,0.0
main_3x3xN,4,E0,0.001,5,0.0,-0.001,0.0
main_3x3xN,5,E0,0.001,6,0.0,0.0,-0.001
main_3x3xN,6,E+,0.001,1,0.39317827374740066,0.0,0.39217827374740066
main_3x3xN,7,E+,0.001,2,0.39217827374740066,0.001,0.39217827374740066
main_3x3xN,8,E+,0.001,3,0.39217827374740066,0.0,0.39317827374740066
main_3x3xN,9,E+,0.001,4,0.39117827374740066,0.0,0.39217827374740066
main_3x3xN,10,E+,0.001,5,0.39217827374740066,-0.001,0.39217827374740066
main_3x3xN,11,E+,0.001,6,0.39217827374740066,0.0,0.39117827374740066
main_3x3xN,12,E-,0.001,1,-0.39117827374740066,0.0,-0.39217827374740066
main_3x3xN,13,E-,0.001,2,-0.39217827374740066,0.001,-0.39217827374740066
main_3x3xN,14,E-,0.001,3,-0.39217827374740066,0.0,-0.39117827374740066
main_3x3xN,15,E-,0.001,4,-0.39317827374740066,0.0,-0.39217827374740066
main_3x3xN,16,E-,0.001,5,-0.39217827374740066,-0.001,-0.39217827374740066
main_3x3xN,17,E-,0.001,6,-0.39217827374740066,0.0,-0.39317827374740066
targeted_E0_unstable,0,E0,1e-07,1,-9.474047253773722e-08,-2.9462107178442583e-09,-3.1867894592086265e-08
targeted_E0_unstable,1,E0,1e-07,2,9.474047253773722e-08,2.9462107178442583e-09,3.1867894592086265e-08
targeted_E0_unstable,2,E0,0.0001,1,-9.474047253773723e-05,-2.9462107178442586e-06,-3.1867894592086266e-05
targeted_E0_unstable,3,E0,0.0001,2,9.474047253773723e-05,2.9462107178442586e-06,3.1867894592086266e-05
