coordinate,frequency,normalized_fft_power
x,0.0,0.0
x,0.006249218847640847,3.5691742650990887e-06
x,0.012498437695281694,3.6297920496215615e-06
x,0.01874765654292254,2.053388957455592e-06
x,0.02499687539056339,3.328996114241745e-06
x,0.031246094238204236,3.10633160510052e-06
x,0.03749531308584508,1.6412707102657268e-06
x,0.04374453193348593,7.091645843088509e-07
x,0.04999375078112678,2.126275334290516e-06
x,0.056242969628767625,3.870845812098695e-09
x,0.06249218847640847,8.316808439238992e-06
x,0.06874140732404932,1.5775721447873898e-05
x,0.07499062617169017,6.290339308525908e-06
x,0.08123984501933101,1.5350312767888613e-06
x,0.08748906386697186,2.4554142451820405e-07
x,0.09373828271461271,1.5152275111086916e-06
x,0.09998750156225356,6.496853928008117e-06
x,0.1062367204098944,4.344273980556279e-06
x,0.11248593925753525,1.729105910978637e-06
x,0.1187351581051761,5.083370322037483e-06
x,0.12498437695281694,5.056965929242944e-07
x,0.1312335958004578,2.135578059561266e-06
x,0.13748281464809864,4.292208743497852e-06
x,0.1437320334957395,1.1297866681833114e-07
x,0.14998125234338033,5.9982249427728715e-06
x,0.15623047119102118,2.69451393873636e-06
x,0.16247969003866203,2.96272574215301e-06
x,0.16872890888630288,3.1251964377242164e-06
x,0.17497812773394372,9.032186507352252e-06
x,0.18122734658158457,1.3533047544169122e-05
x,0.18747656542922542,2.5427812546743742e-05
x,0.19372578427686626,7.213091768526509e-06
x,0.1999750031245071,1.53595760688372e-06
x,0.20622422197214796,9.996962050681294e-07
x,0.2124734408197888,2.9315432424517872e-06
x,0.21872265966742965,7.065313639695318e-06
x,0.2249718785150705,1.2970382168037925e-06
x,0.23122109736271135,2.860109708716366e-06
x,0.2374703162103522,2.388822357006694e-06
x,0.24371953505799304,1.9149048972403176e-06
x,0.2499687539056339,1.6117625691162535e-05
x,0.25621797275327474,1.681779507478188e-05
x,0.2624671916009156,1.2241370463583211e-05
x,0.26871641044855643,2.1358163892341983e-05
x,0.2749656292961973,3.269900881447592e-05
x,0.2812148481438381,1.586802856847888e-05
x,0.287464066991479,1.542285995327511e-05
x,0.2937132858391198,2.6984396937647754e-05
x,0.29996250468676067,3.59790239385341e-05
x,0.3062117235344015,7.267609814588461e-05
x,0.31246094238204236,1.8814233425553717e-05
x,0.3187101612296832,3.0097703111455654e-05
x,0.32495938007732406,1.6017024629560716e-05
x,0.3312085989249649,7.167463600494109e-07
x,0.33745781777260575,1.3613532116367169e-05
x,0.3437070366202466,2.054460936785995e-05
x,0.34995625546788744,1.8358402986113673e-05
x,0.3562054743155283,2.6778263495625252e-05
x,0.36245469316316914,2.1872605630614594e-05
x,0.36870391201081,2.149621308730081e-06
x,0.37495313085845083,1.5191209847740698e-05
x,0.3812023497060917,1.546370026359531e-05
x,0.38745156855373253,2.0507650201206744e-05
x,0.3937007874013734,2.3935300141301732e-05
x,0.3999500062490142,1.5137165464947897e-06
x,0.40619922509665507,1.5971755575553367e-05
x,0.4124484439442959,1.7592598599753435e-05
x,0.41869766279193676,8.205433820378472e-06
x,0.4249468816395776,2.2575968717737536e-05
x,0.43119610048721846,5.288927864349313e-06
x,0.4374453193348593,4.7121381849001753e-07
x,0.44369453818250015,4.078386848986691e-06
x,0.449943757030141,1.0462832797681272e-06
x,0.45619297587778185,1.3149646320535142e-05
x,0.4624421947254227,2.4952947481481156e-05
x,0.46869141357306354,2.4218692118373268e-05
x,0.4749406324207044,4.596142474306958e-06
x,0.48118985126834524,1.583397281169652e-05
x,0.4874390701159861,3.2266301239766685e-05
x,0.49368828896362693,9.425780809339357e-06
x,0.4999375078112678,7.66244919152188e-06
x,0.5061867266589086,6.4603595230845795e-06
x,0.5124359455065495,7.289506222269112e-08
x,0.5186851643541903,1.5118759971008846e-05
x,0.5249343832018312,1.9706655672656503e-05
x,0.531183602049472,1.7908190319678307e-05
x,0.5374328208971129,7.579978582886492e-06
x,0.5436820397447537,1.9027853282862563e-05
x,0.5499312585923946,7.246632777135631e-06
x,0.5561804774400354,2.0796003089267786e-05
x,0.5624296962876763,5.8651889140469176e-05
x,0.5686789151353171,0.00027408367187091106
x,0.574928133982958,0.00016576790833978483
x,0.5811773528305988,4.5744167983509e-05
x,0.5874265716782396,8.84929328551761e-06
x,0.5936757905258805,8.402639013601316e-06
x,0.5999250093735213,8.483942503905484e-06
x,0.6061742282211622,2.482838973567641e-05
x,0.612423447068803,4.0856783963739795e-05
x,0.6186726659164439,5.909093210248492e-06
x,0.6249218847640847,5.284411294405779e-06
x,0.6311711036117256,7.1192520411000835e-06
x,0.6374203224593664,4.360534299295298e-05
x,0.6436695413070073,1.5000402553973026e-05
x,0.6499187601546481,3.0210814253392698e-06
x,0.656167979002289,4.6100224718199457e-07
x,0.6624171978499298,1.1406908529108964e-05
x,0.6686664166975707,3.689622690829442e-05
x,0.6749156355452115,2.0887623185148727e-05
x,0.6811648543928523,2.39156839892221e-05
x,0.6874140732404932,0.00013780455858744894
x,0.693663292088134,0.00011975373943806943
x,0.6999125109357749,9.100327935018084e-05
x,0.7061617297834157,7.940498929310288e-05
x,0.7124109486310566,7.397585497289743e-05
x,0.7186601674786974,3.1425195727998907e-06
x,0.7249093863263383,1.3964589111217989e-05
x,0.7311586051739791,3.5615926213129386e-06
x,0.73740782402162,1.3994862543732963e-05
x,0.7436570428692608,1.7428204579889213e-05
x,0.7499062617169017,2.4485042488605462e-05
x,0.7561554805645425,0.00012042146512312347
x,0.7624046994121834,5.909433981450773e-05
x,0.7686539182598242,4.564548903430259e-05
x,0.7749031371074651,5.5739722641481576e-05
x,0.7811523559551059,1.5770244677481868e-05
x,0.7874015748027468,4.3980299927427785e-05
x,0.7936507936503876,4.8741460082083955e-05
x,0.7999000124980284,2.2938597667602576e-05
x,0.8061492313456693,0.00012490299909247317
x,0.8123984501933101,0.00016338988005614211
x,0.818647669040951,0.00015775152986723887
x,0.8248968878885918,0.0001346703769521368
x,0.8311461067362327,3.4947541923963206e-05
x,0.8373953255838735,7.929729703358176e-05
x,0.8436445444315144,0.00024278043466659382
x,0.8498937632791552,0.00010430773565757525
x,0.8561429821267961,0.00025920795473358355
x,0.8623922009744369,0.0003892894404731704
x,0.8686414198220778,8.608265185812941e-05
x,0.8748906386697186,0.00036986421103352575
x,0.8811398575173595,0.00020102174329268796
x,0.8873890763650003,2.0226713539020647e-05
x,0.8936382952126412,0.0002159800201239817
x,0.899887514060282,0.00025548867138252385
x,0.9061367329079228,8.548883667002394e-05
