coordinate,frequency,normalized_fft_power
x,0.0,0.0
x,0.006249218847640847,1.1446827164716894e-06
x,0.012498437695281694,1.6690449470346014e-06
x,0.01874765654292254,1.6049000097999316e-06
x,0.02499687539056339,4.64408732543312e-08
x,0.031246094238204236,1.0109101427951902e-06
x,0.03749531308584508,3.913076921905334e-06
x,0.04374453193348593,3.0416040857988335e-06
x,0.04999375078112678,1.2124122929625335e-06
x,0.056242969628767625,8.648313848616711e-07
x,0.06249218847640847,4.274129606096732e-07
x,0.06874140732404932,6.184258001908371e-07
x,0.07499062617169017,1.543013980425661e-06
x,0.08123984501933101,1.164206087329943e-06
x,0.08748906386697186,2.1848655051170068e-06
x,0.09373828271461271,3.180690461397485e-06
x,0.09998750156225356,2.307346124188872e-06
x,0.1062367204098944,6.8840072834272205e-06
x,0.11248593925753525,2.0989906159144933e-06
x,0.1187351581051761,6.78373737696827e-07
x,0.12498437695281694,3.722543568009088e-06
x,0.1312335958004578,1.221303365160978e-06
x,0.13748281464809864,2.5198270989821307e-06
x,0.1437320334957395,8.098404704830831e-06
x,0.14998125234338033,6.8589300180920826e-06
x,0.15623047119102118,3.7072789211211708e-06
x,0.16247969003866203,1.5108267263053263e-07
x,0.16872890888630288,3.719682211362958e-06
x,0.17497812773394372,7.688951296372213e-06
x,0.18122734658158457,8.617679917742146e-06
x,0.18747656542922542,1.4092299895137274e-05
x,0.19372578427686626,9.502463848233804e-06
x,0.1999750031245071,1.2604777780962713e-06
x,0.20622422197214796,1.7460306115993015e-06
x,0.2124734408197888,5.082934992057695e-06
x,0.21872265966742965,5.4538939936700904e-06
x,0.2249718785150705,8.145238297790821e-06
x,0.23122109736271135,1.9267628865865056e-05
x,0.2374703162103522,1.4877064939391992e-05
x,0.24371953505799304,3.0164137711692728e-05
x,0.2499687539056339,3.5392789611475806e-06
x,0.25621797275327474,2.9469387494038293e-06
x,0.2624671916009156,1.7128424019779594e-06
x,0.26871641044855643,8.059296647514377e-06
x,0.2749656292961973,2.341933424772644e-05
x,0.2812148481438381,2.827348083131157e-05
x,0.287464066991479,3.6367264331309122e-06
x,0.2937132858391198,4.9564586713255855e-05
x,0.29996250468676067,7.615085697510543e-05
x,0.3062117235344015,1.55526539269747e-06
