time,y1,y2,y3
0.0,0.49062745444527095,0.044266310505229466,0.48967963752751176
0.02,0.48995862005440194,0.040143878982498285,0.6595602195491036
0.04,0.4826353954114941,0.03306879889829536,0.8068832394837648
0.06,0.4697098493593891,0.023634072706874367,0.9209570986319423
0.08,0.45178750275298757,0.012597332774918162,0.993815724407315
0.1,0.42932728945152626,0.0008079771331362486,1.02073142801764
0.12,0.40274874356332485,-0.010865140494721799,1.0004367486454877
0.14,0.3724727789175115,-0.021602211392602703,0.9350632942255507
0.16,0.3389423182226031,-0.03069283937423891,0.8298214021343707
0.18,0.30264025550818846,-0.037584257711926625,0.6924614216857229
0.2,0.26411409648111406,-0.04191429955705976,0.5325717781843333
0.22,0.22401579587975404,-0.04352720915719818,0.36077904514145115
0.24,0.18316649537161722,-0.042471636798742815,0.1879203928652987
0.26,0.1426549581511002,-0.038981387014951234,0.024258939792354828
0.28,0.1039694474645413,-0.033440689714528314,-0.1211921398491329
0.3,0.0691396797776947,-0.02633706784909059,-0.24118051917076458
0.32,0.04083536901959373,-0.018206416880250577,-0.3305197035683288
0.34,0.02236968612360695,-0.009576371602391552,-0.38616872711853856
0.36,0.01764159635338192,-0.0009141447371215274,-0.4070924560692461
0.38,0.031173674476589683,0.007417606358421238,-0.39392881355374326
0.4,0.06825835734471078,0.015196618465524685,-0.34849598088195527
0.42,0.1341222989819922,0.022360776430063525,-0.2731816951005113
0.44,0.2283504072946097,0.028960284273447517,-0.17035859963565608
0.46,0.33286186948849233,0.034924260933727094,-0.042323013609405935
0.48,0.4152791788472454,0.039709950957590355,0.10748502697189322
0.5,0.46135302780714343,0.042398113199658916,0.2725482858653783
0.52,0.48064276208018686,0.04226865406862443,0.44288915066297696
0.54,0.4849455630607224,0.039093410043135296,0.606617709669645
0.56,0.48044441662123016,0.033065410300353114,0.7518201254226444
0.58,0.4697020543449147,0.024666958942387178,0.8679720704409892
0.6,0.4538327608416003,0.014569748090064578,0.946885929437189
0.62,0.43346818533267856,0.003555406369088822,0.9833055447338241
0.64,0.4091025953125484,-0.00755634411066692,0.9752006127967959
0.66,0.3812139848401875,-0.017974402225746,0.9237836796110596
0.68,0.3503164973618565,-0.026995563976955676,0.833274054973834
0.7000000000000001,0.3169989297569989,-0.03405289864715104,0.7104452745808311
0.72,0.28197182805014837,-0.038750116770860564,0.5640061718359336
0.74,0.2461375115111657,-0.04087974077508705,0.4038763226724172
0.76,0.210695591733082,-0.04042400431354397,0.24042318637517585
0.78,0.1772924948511798,-0.03753858732728161,0.08373021613992498
0.8,0.14821022603839012,-0.032520559404872314,-0.05703770149379549
0.8200000000000001,0.12656380380131782,-0.025763372889191987,-0.17411345781043575
0.84,0.1164432699765176,-0.017703499861506808,-0.2614083426096958
0.86,0.12288179185597739,-0.00876537924273176,-0.31457319373887194
