hopf_offset,gamma,equilibrium_stability_margin,lambda_1,lambda_2,lambda_3,lyapunov_status,E0_probe_count,E0_target_hits,E0_ambiguous,eligible_hidden_chaos_screen
0.005,0.14880379839949112,0.03009940856442217,0.23558919458300423,-0.011238495695395178,-20.690055990029126,ok,2,1,0,False
0.01,0.15380379839949113,0.05938592786916713,0.7060035422596422,0.0035170506759074987,-20.924942374836373,ok,2,0,0,True
0.015,0.1588037983994911,0.08785442531077603,-0.06213279193139301,-0.05076471601929138,-20.978767515633592,ok,2,0,0,False
