stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
gamma,9,2.85,0.12500000000000003,"[0.4038896741982995,0.012345797408713447,0.640431891037597]","[0.16983529043691498,-0.031998854538067424,0.13960919436852134]",ok,True,True
gamma,10,2.85,0.12750000000000003,"[0.16983529043691498,-0.031998854538067424,0.13960919436852134]","[0.06169806540542418,-0.023518206707736848,-0.17642503573039436]",ok,True,True
gamma,11,2.85,0.13000000000000003,"[0.06169806540542418,-0.023518206707736848,-0.17642503573039436]","[0.3140410436376593,0.018054838379477488,-0.10981527553425462]",ok,True,True
gamma,12,2.85,0.13250000000000003,"[0.3140410436376593,0.018054838379477488,-0.10981527553425462]","[0.38910401778593384,0.021234527780508144,0.07630975809821333]",ok,True,True
gamma,13,2.85,0.13500000000000004,"[0.38910401778593384,0.021234527780508144,0.07630975809821333]","[0.3661489637364737,-0.013849056544722994,0.8406271500279456]",ok,True,True
gamma,14,2.85,0.13750000000000004,"[0.3661489637364737,-0.013849056544722994,0.8406271500279456]","[0.15292153642361941,-0.01878272046922042,-0.13659258565537583]",ok,True,True
gamma,15,2.85,0.14000000000000004,"[0.15292153642361941,-0.01878272046922042,-0.13659258565537583]","[0.4257133702306892,0.03747882546399287,0.09719657935010162]",ok,True,True
gamma,16,2.85,0.14250000000000004,"[0.4257133702306892,0.03747882546399287,0.09719657935010162]","[0.3786518182411966,-0.014277744876921239,0.9273308204089253]",ok,True,True
gamma,17,2.85,0.14500000000000005,"[0.3786518182411966,-0.014277744876921239,0.9273308204089253]","[0.3323193882899384,-0.028066136080542353,0.7841258759406478]",ok,True,True
gamma,18,2.85,0.14750000000000005,"[0.3323193882899384,-0.028066136080542353,0.7841258759406478]","[0.15661270140260908,-0.036666011766984405,0.05452408950677014]",ok,True,True
gamma,19,2.85,0.14880379839949112,"[0.15661270140260908,-0.036666011766984405,0.05452408950677014]","[0.11646489497311006,0.023538128776528316,-0.23015288111044996]",ok,True,True
gamma,20,2.85,0.15000000000000005,"[0.11646489497311006,0.023538128776528316,-0.23015288111044996]","[0.43091731318699616,0.0037115783274917786,1.0006612151117213]",ok,True,True
gamma,21,2.85,0.15250000000000005,"[0.43091731318699616,0.0037115783274917786,1.0006612151117213]","[0.2990440182402651,-0.03699134152399673,0.6584345223775268]",ok,True,True
gamma,22,2.85,0.15380379839949113,"[0.2990440182402651,-0.03699134152399673,0.6584345223775268]","[0.10410278412123895,-0.021974180416491608,-0.23978493499844467]",ok,True,True
gamma,23,2.85,0.15500000000000005,"[0.10410278412123895,-0.021974180416491608,-0.23978493499844467]","[0.4349503503909017,0.041300076979837404,0.09104673166967524]",ok,True,True
gamma,24,2.85,0.15750000000000006,"[0.4349503503909017,0.041300076979837404,0.09104673166967524]","[0.33463625045454753,-0.03309044528219654,0.8128779798245043]",ok,True,True
gamma,25,2.85,0.1588037983994911,"[0.33463625045454753,-0.03309044528219654,0.8128779798245043]","[0.15205763544452822,0.00842665097312197,-0.35793391742608077]",ok,True,True
