time,y1,y2,y3
0.0,0.10410278412123895,-0.021974180416491608,-0.23978493499844467
0.02,0.0971842544393717,-0.013411533700191734,-0.3108207455914383
0.04,0.10847010739555055,-0.00425256976838102,-0.34628603274672626
0.06,0.14358159306588866,0.005169171834922084,-0.344495484913232
0.08,0.20583195407410776,0.014611562321156754,-0.3049061160207768
0.1,0.2893433538504584,0.023832928352438727,-0.22788737948908735
0.12,0.37332212084509586,0.03236188241392011,-0.11514605845003964
0.14,0.4352141284710423,0.03934929778088864,0.02895799935125877
0.16,0.4703923892247024,0.04383739362212196,0.19630030155483486
0.18,0.48664623629484216,0.0451710956026242,0.3754308410680747
0.2,0.4912531248725949,0.043133371406796496,0.5531570199306575
0.22,0.4879909358194849,0.03788504866791733,0.7162042471299165
0.24,0.47854606891845414,0.029876019470029196,0.8525470994629274
0.26,0.4637495629341437,0.019767385177042,0.9524067848213553
0.28,0.4441326536378118,0.00835841076039542,1.0089494968363242
0.3,0.42013248542871595,-0.003486319780234338,1.0186933604629513
0.32,0.39216603277561213,-0.014908289140575664,0.9816258766011352
0.34,0.3606603407539989,-0.025121086539636947,0.9010450585746997
0.36,0.3260708480478577,-0.03346678031411379,0.7831543620617748
0.38,0.288900872102847,-0.03945889257402846,0.6364578339455554
0.4,0.2497308145740304,-0.04280929099978729,0.4710148323880893
0.42,0.2092660079487917,-0.04343753907373866,0.29762198698590275
0.44,0.16841309186116024,-0.04146249801702915,0.1269933901254859
0.46,0.12839174943898116,-0.0371771836103913,-0.030991596351894468
0.48,0.09087487145363098,-0.03100909862551484,-0.16790995757698993
0.5,0.05812240161000555,-0.02346964733840405,-0.2772346742278021
0.52,0.033049331189304795,-0.015097831366087052,-0.35455860012786183
0.54,0.01919658423382102,-0.00640458694179392,-0.39759224694218115
0.56,0.02068824076933589,0.002176682774105953,-0.40594990949649506
0.58,0.042335046268521546,0.01033127036443125,-0.3807544893603695
0.6,0.0896478613291832,0.01789521076531264,-0.3240946605261453
0.62,0.16681760433629855,0.02485980725226194,-0.23839563652823006
0.64,0.2682123996688087,0.03126865454221635,-0.12594600565952363
0.66,0.3679458160130066,0.03690428117025026,0.010750264477401635
0.68,0.4366553784175989,0.04103034847403712,0.16728451259410304
0.7000000000000001,0.4710377318347354,0.04273540092059352,0.3357453242030205
0.72,0.48363675842945486,0.041476010662874034,0.5051923271604377
0.74,0.4841837335763237,0.03719771476207873,0.663511961937743
0.76,0.4771636689233065,0.030215534803206164,0.7991580045136555
0.78,0.4644146488017632,0.02109291205002307,0.9023753365241731
0.8,0.44680183093990244,0.010551753617299625,0.9660062688194103
