hopf_offset,gamma,equilibrium_stability_margin,lambda_1,lambda_2,lambda_3,lyapunov_status,E0_probe_count,E0_target_hits,E0_ambiguous,eligible_hidden_chaos_screen
0.005,0.14880379839949112,0.03009940856442217,0.22457082935231698,-0.06099302439891292,-20.725902532743167,ok,2,1,0,False
0.01,0.15380379839949113,0.05938592786916713,0.7827151800379812,0.04547884307479323,-20.94996837641943,ok,2,0,0,True
0.015,0.1588037983994911,0.08785442531077603,0.019524115887515323,-0.13097403181058806,-20.96642814349929,ok,2,0,0,False
